model,globalisationinevitable,classthannationality,inflationoverunemployment,corporationstrust,fromeachability,freermarketfreerpeople,bottledwater,landcommodity,manipulatemoney,protectionismnecessary,companyshareholders,richtaxed,paymedical,penalisemislead,freepredatormulinational,taxtotheatres,goodforcorporations,broadcastingfunding,charitysocialsecurity
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-13b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,disagree,disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,disagree,disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,agree
Mistral-7B-Instruct-v0.3,strongly_agree,disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_disagree,agree,disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,disagree,disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,agree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,agree
Mistral-7B-Instruct-v0.3,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,disagree,disagree,agree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_disagree,disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_agree,agree,disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_disagree,disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_agree,disagree,disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,disagree
Mistral-7B-Instruct-v0.3,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,agree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,agree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,agree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,disagree,strongly_disagree,disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,disagree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,disagree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-3.2-3B-Instruct,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,disagree,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree
gemma-2-9b-it,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,disagree,strongly_agree,strongly_disagree,disagree,strongly_disagree
gemma-2-9b-it,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,agree,strongly_agree,strongly_agree,strongly_disagree,disagree,strongly_disagree
gemma-2-9b-it,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,disagree,strongly_disagree
gemma-2-9b-it,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
gemma-2-9b-it,strongly_agree,strongly_disagree,strongly_disagree,agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree
gemma-2-9b-it,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,agree,strongly_disagree,agree,strongly_agree,strongly_disagree,strongly_disagree,agree,strongly_disagree
gemma-2-9b-it,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_disagree,strongly_disagree,disagree,strongly_disagree
gemma-2-9b-it,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_disagree
